station,age
Hallett Wind Farm,2007
Lake Bonney Stage 2,2007
Snowtown Wind Farm,2008
Canunda Wind Farm,2009
Cathedral Rocks Wind Farm,2009
Clements Gap Wind Farm,2009
Lake Bonney Stage 1,2009
Mount Millar Wind Farm,2009
Starfish Hill Wind Farm,2009
Wattle Point Wind Farm,2009
Lake Bonney Stage 3,2010
North Brown Hill Wind Farm,2010
Waterloo Wind Farm,2010
The Bluff Wind Farm,2011
Snowtown South Wind Farm,2013
Snowtown North Wind Farm,2014
Hornsdale Wind Farm,2016
Willogoleche Wind Farm,2018
Lincoln Gap Wind Farm,2019
