station,count,fuel_type,perc
Lake Bonney Stage 3,17305,Wind,0.164621385083714
Lake Bonney Stage 2,17297,Wind,0.164545281582953
Snowtown North Wind Farm,14496,Wind,0.137899543378995
Snowtown South Wind Farm,14496,Wind,0.137899543378995
Murray,14041,Hydro,0.133571156773212
Hallett Wind Farm,13880,Wind,0.132039573820396
Hornsdale Wind Farm,13861,Wind,0.131858828006088
North Brown Hill Wind Farm,13700,Wind,0.130327245053272
The Bluff Wind Farm,13700,Wind,0.130327245053272
Snowtown Wind Farm,13533,Wind,0.128738584474886
